,Continent,Organisation,Operating in,Response,Provided,Document / Page,area (ha),start (year),duration,define_success (Y/N),define-notes (direct extract),define-classification,SMT,monitor (Y/N),monitor-notes (direct extract),monitor-classification,evaluate (Y/N),evaluate-notes (direct extract),evaluate-classification,Notes
11,Africa,Save The Elephants,Kenya,NO,NA,https://www.savetheelephants.org/wp-content/uploads/2024/05/STE_Annual-Report-2023.pdf,NA,1993,32,YES,"Mission: To secure a future for elephants and sustain the beauty and ecological integrity of the places they live, to promote man’s delight in their intelligence and the diversity of their world, and to develop a tolerant relationship between the two species.","Social
Species
Ecosystem",NO,YES,"GPS tracking collars
Cutting edge tracking systems now help scientists and protected area managers across the continent defend elephants and their ecosystems, and plan for their future.
Work on specialised camera systems combined with artificial intelligence, meanwhile, promises to revolutionise both fundamental research and wildlife population monitoring.
Eight corridors are now defined and under the vigilant monitoring of Mama Tembos","Wildlife tracking
Fieldwork
Aspirational (AI wildlife tracking)",YES,"Impact: 
scholarships awarded, community members engaged, students benefitted, targeted community wildlife corridors demarcated, recruitment / jobs, education and training manuals distributed, training conducted, tracking collars deployed, elephant calves born, engagement with film, rapid response interventions, money distributed","Area
Species
Social
Internal",
12,Asia,Pakistan Environment Trust,Pakistan,NO,NA,https://pakenvironment.org/annual-report/,14569,2020,5,YES,"To deliver the first phase of programming for priority species, including the Greater One-horned Rhino and Cheetah, in partnership with Government of Pakistan and conservation NGOs. Rewild Pakistan envisions restoring the natural corridor for the Greater One Horned Rhino and 50% of endangered species to thrive and travel along the River Indus of Pakistan.",Species,SM,NO,"The group will, among other actions, establish criteria for Priority Restoration Areas, perform an ecosystem analysis utilizing satellite imagery, remote sensing and GIS along with field surveys. ","Aspirational (remote sensing, fieldwork)",NO,NA,NA,Rewild Pakistan is mentioned
13,Asia,Balipara Foundation,India,NO,NA,"https://baliparafoundation.com/wp-content/uploads/2024/07/Balipara-PI-Report_12-06-24-Final-File-1_2024.pdf
https://baliparafoundation.com/habitats/
https://baliparafoundation.com/udalguri-landscape-mission/
https://baliparafoundation.com/balipara-reserve-forest/
https://baliparafoundation.com/communitree/",4000,2007,18,YES,"Obejctives:
Increase community engagement in restoration and agroforestry by 50% in 2 years. 
Create 10 million Natural Assets by 2027 
Support 30,000 individuals within the community in boosting their income and well-being by 2027. 
Increase household incomes in targeted communities by minimum 20% through habitat restoration","Social
Habitat structure",SMT,YES,"Biodiversity assessments establish a baseline for tracking changes in biodiversity across time. Regular monitoring enables project managers to track the success of conservation measures, adjust management methods as needed, and maintain the project’s long-term viability.
Biodiversity assessments were systematically carried out across various sites within Sonitpur and Jorhat districts as part of distinct projects. These assessments involved using GPS technology for mapping purposes, alongside rigorous methodologies such as tree enumeration, plant species identification, and the measurement of girth at breast height (GBH).
We also aim to continue strengthening our science by partnering with researchers and institutions to understand the dynamics of forest restoration – what makes forest restoration successful? What can we do differently? What is the evidence for this? – and to use GIS techniques to better synthesize our monitoring systems, particularly as the area of our restoration grows and makes on-ground, in-person monitoring increasingly difficult","Fieldwork
Remote sensing
Aspirational (remote sensing)",YES,"journal publications, species counts, community involvement, natural assets, individual (people) impacted, community revenue generated","Internal
Social
Diversity
Academic",
14,Asia,Chinese Felid Conservation Alliance,China,NO,NA,"https://homingleopards.org/download/
https://cdn.homingleopards.org/resource/file/bring-leopards-home-annual-report-2020.pdf",200000,2013,12,YES,"Mission: protecting all 12 native felid species of China, which includes:
1. evaluating the current conservation status of felid species, identifying their key habitats;
2. providing local support to key habitats;
3. engaging the public to felid conservation, fundraising, and raising awareness of conserving biodiversity","Species
Ecosystem
Social",SM,YES,"1. monitoring population size change of felids;
2. assessing habitat quality of felids
assessing the effects of land use change, fire and poaching on felid population changes (page 9-10)",Fieldwork,NO,NA,NA,Chinese language - Jingji Yang
15,Asia,Edhkwehlynawd Botanical Refuge Centre Trust,India,NO,NA,"https://www.ebrtrust.org/restoration-rewilding
https://651fd4dd-63dd-40ba-a55b-7f811955e5bf.usrfiles.com/ugd/651fd4_685a668c9e624a9e97e2548f131aae98.pdf",24,2003,22,YES,"The Edhkwehlynawd Botanical Refuge (EBR) Centre Trust was established more recently with the hope of achieving a synthesis of objectives. Among the more important of these are: (a) To restore the original ecology in a degraded zone surrounded by areas of high biodiversity, (b) To propagate the plant species crucial to the Todas, (c) To reintroduce and propagate the endangered flora of the Nilgiris, (d) To prevent further degradation and encroachment onto the adjacent hinterland, (e) The protection and preservation of all the mammals, birds and amphibians of the area, including the Toda buffalo, which is a breed restricted to the Nilgiris district and (f) To establish a botanical documentation and ecological research centre. This would have live, seed, herbarium, photographic and illustrative records of the rare, endemic and endangered flora of this area.","Diversity
Ecosystem
Species
Knowledge sharing
Habitat structure",SM,NO,NA,NA,NO,NA,NA,
16,Asia,Junglescapes,India,NO,NA,https://www.junglescapes.org/reports.html,NA,2009,16,YES,"Our vision is to develop expertise in the practice of ecological restoration and community-participative conservation. Towards this goal, we strive to develop effective and scientifically sound methodologies for restoration of degraded forest eco-systems. We also focus on building capabilities within forest dwelling communities to demonstrate stewardship of their ecological heritage.","Social
Knowledge sharing",NO,NO,NA,NA,NO,NA,NA,
17,Asia,Junglo,Bali,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://www.junglo.org/about/,NA,2023,2,YES,"OUR AIM IS TO PLANT ONE MILLION TREES IN THE NEXT FIVE YEARS
",Habitat structure,SMT,NO,NA,NA,NO,NA,NA,Year uncertain
18,Asia,Planet Indonesia,Indonesia,NO,NA,"https://www.planetindonesia.org/impact
https://static1.squarespace.com/static/55032857e4b0a9cec125fe9c/t/66b3bfd62364bf4c1af45d1e/1723056095361/Planet+Indonesia+Annual+Report+2023+-compressed.pdf",966000,2014,11,YES,MISSION: Conserve at-risk ecosystems through integrated community-led governance to address socio-economic challenges and drive conservation.,"Ecosystem
Social",NO,YES,", in August 2023 PI provided turtle monitoring training…At the end of the training activities, there were 11 priority islands in the Karimata Island area which were agreed to be routinely monitored by the Turtle Monitoring Team together with the West Kalimantan BKSDA.
With advances in AI, Planet Indonesia is hoping to utilize bioacoustics to monitor biodiversity at scale and democratize access to data for frontline community partners","Fieldwork
Aspirational (remote sensing)",YES,"In 2023 we launched a new ‘governance index’. Together with experts and community partners, we landed on 25 indicators covering different aspects of governance, ranging from transparency to financial capacity, each featuring a straightforward yes/no question, and a description of acceptable supporting evidence. The percentage of indicators achieved translates into a “governance index” that categorizes a community cooperative into four levels, from “basic” to “independent”.
Published research: Using a multi-method approach, we evaluated the outcomes in human well-being, environmental integrity, and participation.
We will conduct a critical evaluation and rigorous trial to obtain further evidence for the effectiveness of the core model.","Internal
Academic
Aspirational (trial)",
19,Asia,The Corbett Foundation,India,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,http://www.corbettfoundation.org/admin/images/Annual_Report_2022-23_compressed.pdf,NA,1994,31,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.
Documents - Undertake conservation-oriented research for the longterm preservation of ecosystems and the associated species. 1. Restoration of degraded habitats for biodiversity enhancement and climate change mitigation. 2. Provide solutions for the harmonious coexistence of human beings and wildlife. 3. Promote sustainable livelihood alternatives to empower local communities sharing space with wildlife. 4. Implement One Health programme to ensure healthy communities and disease-free livestock in conservation landscapes. 5. Conservation education and awareness for a better understanding of environmental issues and increased appreciation of nature. 6. Promote sustainable rural eco-development for developing climate-resilient local communities. 7. Produce reports, research papers and popular articles that contribute to the knowledge of natural history, wildlife conservation and human-wildlife coexistence.","Habitat structure
Knowledge sharing
Diversity
Ecosystem
Social",SM,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Document - community and volunteer monitoring efforts",Fieldwork,YES,"IMPACT: 12,171 interim relief cases attended to since 1997, 300+ awareness programmes annually, 50,000+ people treated annually, 3,550 target trainees by 2017, cattle vaccinations","Internal
Social",
20,Asia,Wildlife Trust of India,India,NO,NA,"https://www.wti.org.in/wp-content/uploads/2024/02/WTI25-Corporate-Brochure-FINAL_Web-Version.pdf
https://www.wti.org.in/why-us/",179504,1998,27,YES,"OUR MISSION To conserve wildlife and its habitat and to work for the welfare of individual wild animals, in partnership with communities and governments.",NA,NO,YES,"WTI launches HAWK, a first-of-its-kind wildlife crime intelligence monitoring system for the country (Cloud Based Information Management System)
Community / volunteer monitoring schemes","Fieldwork
Wildlife tracking",YES,"8 top impact indicators: 54,334 animal lives saved, 1,77,664.4 ha protected, 7 animal connectivities secured, 302 enforcement operations, 12,986 families enables with green livelihoods, 1 threatened species recovered, 20,076 forest guards trained, 2,228 potential accidents averted, 31,70,288 children made aware of conservation","Internal
Area
Social
Species",
21,Central / South America,AMAP Brazil,Brazil,NO,NA,"https://www.amap-brazil.org/references
",339,2017,8,YES,"Our Mission
AMAP began its mission in the region in 2017, aiming to protect the habitat of the endangered golden-headed lion tamarin, a small species of tamarins, endemic to the cocoa coast of Bahia and a flagship species of the region. In the following years AMAP has expanded its mission to the conservation of the Mata Atlântica and its flora and fauna, for the benefit of people and nature. The golden-headed lion tamarin is the symbol for the mission.
AMAP will achieve its mission by:
land purchase to protect wildlife habitats
reforesting Mata Atlântica to restore habitats for wildlife
supporting restoration projects to recover ecosystem functions
supporting research projects for evidence based solutions for biodiversity conservation
supporting agroforestry systems to generate sustainable income for local communities
biodiversity-friendly organic cocoa production in the cabruca-agroforestry system on our own farms","Habitat structure
Ecosystem
Knowledge sharing
Social",M,YES,"Long-term monitoring project of lion tamarins (radio telemetry)
The EAI-Project will use artificial intelligence (AI)-based biodiversity monitoring cameras to quantify biodiversity changes and implications for ecosystems services such as pollination and pest control. ","Wildlife tracking
Aspirational (wildlife tracking)",YES,"Since its founding in 2017, AMAP has supported research projects that contribute to the preservation of the region's biodiversity. This can directly involve basic research on species conservation, or, for example, research on sustainable, biodiversity-friendly cocoa cultivation in the region. The resulting scientific articles, theses and other publications in which AMAP was directly or indirectly involved are listed here.
The Ecological Assessment Initiative (EAI-Project) is a scientific cooperation project of Westlake University (WU), the Universidade Estadual de Santa Cruz (UESC) and AMAP, which aims to quantify the long-term effects of land use changes on biodiversity and its socio-economic consequences for cocoa farmers in the Cabruca agroforestry system (cocoa forest) of Brazil.",Academic,land purchased = 153ha + 186ha = 339ha
22,Central / South America,Araguia - Instituto Araguaia de Proecao Ambiental,Brazil,NO,NA,"https://www.magcloud.com/webviewer/2937209
https://www.araguaia.org/otters",600,2010,15,YES,"idealised >4 million-hectare Bananal-Araguaia Ecological Corridor
To protect the biodiversity of the Araguaia River basin and its ecological processes, in particular inside and around Cantão State Park; to carry on scientific research and to disseminate scientific data that will contribute to the region's conservation; to develop and to implement a community outreach program that is economically and environmentally sustainable; to undertake the legal actions necessary to carry on our mission.
Goal: To protect at least 2000 hectares (4,942 acres) of native Cerrado in a network of interconnected private reserves within 20 km of Cantão Park. (one one of 4 projects)","Habitat structure
Ecosystem
Diversity
Knowledge sharing
Social
Other (legal)",SM,YES,"Giant otter monitoring (patrols) - monthly census, camera traps
According to our observations, which are based on the methodology established by the IUCN and described in the publication ""Surveying and Monitoring Distribution and Population Trends of the Giant Otter, IUCN/SSC Otter Specialist Group”…
Lake surveys (in person, drone and balloon)
Mark and release 
Habitat classification","Fieldwork
Wildlife tracking",NO,NA,NA,"Area from 2023 Annual report “our corridor of… 20-ha pristine forest, 145 ha property… 240 ha of pristine…195 ha RPPN = 600"
23,Central / South America,Black Jaguar Foundation,Brazil,NO,NA,"https://www.black-jaguar.org/2022-bjf-milestone-report/
https://www.black-jaguar.org/2024-highlights/
https://www.black-jaguar.org/green-capital-study/",10400000,2009,16,YES,"Now, our sole focus is tree planting and the restoration of biodiversity. 
we reached many new milestones, in order to realize the 2600 km long Araguaia Biodiversity Corridor.
Our objective is ambitious: to plant over 1.7bn native trees to realise the Araguaia biodiversity corridor",Habitat structure,SM,YES,"17 steps to bring back healthy forests:
5 = mapping and validation (mapping and assessing land), 16 = up to 20 years monitoring (not explicit how)",Fieldwork,YES,"Impact: +20,000 jobs in restoration, 70+ native species being grown, +500,000 seedlings from nursery
During 2019-2020, an international team of 11 scientists conducted an impact study. Supported by a Global Advisory Board, they calculated the total benefits resulting from the land restoration of the Araguaia Biodiversity Corridor, for Brazil and the planet as a whole.
2020 impact study report: native trees restored, partner farms, planting survival rate, seedling production, native species planted,","Internal
Social
Diversity",
24,Central / South America,Ecosistemas Argentinos,Argentina,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"Not counting academic papers - move to academic lit review if relevant
https://ecosistemasarg.org.ar/horizonte-y-objetivos/

https://drive.google.com/drive/folders/1PkS67RsG_7DxOQLu7oOv9S1OPSiXWBQf",22,2003,22,YES,"Generate knowledge, inform and raise awareness about Argentine ecosystems.
To develop, support and implement restoration and conservation projects for Argentine ecosystems.
Promote citizen participation in the planning and implementation of environmental public policies.","Knowledge sharing
Social
Ecosystem",NO,NO,CM: I couldn’t find anything on monitoring in the general documents; but they have a whole list of projects and some might have invididual monitoring metrics?,NA,NO,"CM: They have an evaluation procedure to decide which projects they subsidize, but its criteria to evaluate whether to support the project, rather than to evaluate if it worked after implementation",NA,Spanish language - Cecilia Maria Montauban
25,Central / South America,Felinos do Aguaí Institute,Brazil,NO,NA,"Portuguese language
https://www.felinosdoaguai.com/unidade.htm",9172,2005,20,YES,"Our Mission
Research to educate for the conservation of wild felines and their habitats.
Our Vision
To be a reference institution, in an environment of continuous learning, to make projects that promote environmental conservation viable.","Knowledge sharing
Species",NO,YES,"Scientific expeditions;

Use of technologies to monitor wild cat populations;

Management and conservation of endangered species through scientific breeding for conservation purposes; Monitored releases of wild animals; Technical-scientific publications.","Fieldwork
DNA methods
Wildlife tracking",NO,NA,NA,Portuguese language
26,Central / South America,Guanacaste Dry Forest Conservation Fund,Costa Rica,NO,NA,https://www.gdfcf.org/content/who-we-are,169000,1997,28,YES,"GDFCF's formal mission statement is to: “Promote the long-term survival of the ecosystems and biodiversity of the Área Silvestre Protegido (wild protected area) of Área de Conservación Guanacaste in Costa Rica through conservation, education, science-based management and biodiversity development.”","Ecosystem
Diversity
",NO,YES,"We train, fund and guide the parataxonomist program of Costa Rican biodiversity managers. These are local men and women whose careers center on understanding what ACG biodiversity exists, in which places and what it does there, and of transmitting that information to the rest of the ACG conservation community, the scientific community, and the world at large. [SEE: BIOINVENTORY OF ACG]. ACG is also a test bed for innovative methods to identify and understand wild biodiversity through the use of DNA barcoding.","DNA methods
Fieldwork",NO,NA,NA,
27,Central / South America,Instituto Fauna Brasil,Brazil,NO,NA,"Reintroduction projects
https://institutofaunabrasil.org.br/publicacoes/",NA,2010,15,YES,"OBJECTIVES

Carry out translocation projects for conservation purposes;
Promote the restoration of ecological interactions that have been lost in defaunated forests;
Educate and train people to act as citizen scientists and be protective agents of the environment and fauna;
Generate opportunities and promote sustainable socioeconomic development","Species
Social
Ecosystem",M,YES,"the parrots undergo behavioral training to adapt to life in the wild. They are then identified, equipped with monitoring devices, and transferred to an aviary within the PNA for adaptation. The aviary is gradually opened during the day so that the parrots can acclimate to their natural environment, while they are monitored by staff and citizen scientists.","Wildlife tracking
Fieldwork",NO,NA,NA,
